,,player_id,player_name,team_id,singles,doubles,triples,home_runs,at_bats,walked,hit_by_pitch,plate_appearances,stolen_bases,caught_stealing,struck_out,runs,runs_batted_in,sac_flies,groundouts,flyouts,popouts,lineouts,positiontype,hitting,TB,BA,OBP,SLG,OPS,BABIP,SB%,K%,BB%,ISO
league,69,68418ecb88056169e0078c84,Huifang Dennis,680a505c87875f7f639d0379,62,20,0,20,372,49,12,438,18,5,78,62,58,5,71,62,18,23,,102,182,0.27419354838709675,0.37,0.489247311827957,0.8613934305494182,0.2939068100358423,0.782608695652174,0.1780821917808219,0.11187214611872145,0.21505376344086025
league,70,684113d6554d8039701f19a5,Cory Sinclair,68066e2b9edf4f7b46032650,53,21,0,10,380,57,11,452,18,7,106,62,32,1,94,45,17,17,,84,135,0.22105263157894736,0.34,0.35526315789473684,0.6937932247098816,0.2792452830188679,0.72,0.2345132743362832,0.1261061946902655,0.13421052631578947
league,71,684105a354a7fbd4133871ab,O. Lexington,6807b079ad144ec1a39c65bb,65,28,1,17,385,46,14,449,29,9,80,60,66,3,94,45,15,20,,111,192,0.2883116883116883,0.38,0.4987012987012987,0.8803977272727272,0.3230240549828179,0.7631578947368421,0.17817371937639198,0.10244988864142539,0.2103896103896104
league,72,68796f30762fe1c1e4769843,Michelle Lyons,68796dd8ee911b762e00736d,45,20,0,22,292,24,15,337,14,2,71,54,67,4,42,45,10,22,,87,173,0.2979452054794521,0.38,0.5924657534246576,0.9685851564097322,0.32019704433497537,0.875,0.21068249258160238,0.0712166172106825,0.2945205479452055
league,73,6841078f183c892d88a0fe0d,Lauren Butterfield,6807b079ad144ec1a39c65bb,64,19,0,9,383,38,15,448,34,10,83,51,48,6,92,46,31,22,,92,138,0.2402088772845953,0.33,0.360313315926893,0.6883676145694269,0.27946127946127947,0.7727272727272727,0.18526785714285715,0.08482142857142858,0.12010443864229767
league,74,6887d44a18e81770515b6dd9,DVD Caballero,68069a789edf4f7b46032846,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,,0,0,,1.0,,,,,0.0,1.0,
league,75,6845783ce2d7557e153cccd3,Yongjun Shimada,681e92c41017959663077c0c,46,22,4,8,359,46,6,417,11,6,90,39,34,3,82,40,25,27,,80,134,0.22284122562674094,0.32,0.3732590529247911,0.692099632634936,0.2727272727272727,0.6470588235294118,0.2158273381294964,0.11031175059952038,0.15041782729805017
league,76,68457897ec9dc637cfd0d351,Rex Esprit,681e92c41017959663077c0c,65,15,0,28,372,40,12,430,21,7,84,60,78,5,70,46,23,23,,108,207,0.2903225806451613,0.37,0.5564516129032258,0.9294119858635987,0.3018867924528302,0.75,0.19534883720930232,0.09302325581395349,0.26612903225806445
league,77,6845b7de08b7fc5e21e8b364,Alexei Bryan,68077beaee9f269dec7251e9,57,22,1,9,363,38,8,415,7,9,98,48,39,5,84,35,18,25,,89,140,0.24517906336088155,0.33,0.3856749311294766,0.7117618876512157,0.3065134099616858,0.4375,0.236144578313253,0.09156626506024096,0.14049586776859505
league,78,6805db0dac48194de3cd4169,Emily Beltre,6805db0dac48194de3cd4160,30,7,0,6,156,23,6,189,16,3,36,24,24,4,33,18,9,12,,43,68,0.27564102564102566,0.38,0.4358974358974359,0.8168498168498168,0.3135593220338983,0.8421052631578947,0.19047619047619047,0.12169312169312169,0.16025641025641024
league,79,6840fd45e63d9bb87288985d,Darius Flynn,6806c5dff9b67839f528be60,52,16,0,11,358,42,10,415,18,7,73,50,41,2,90,49,25,23,,79,128,0.2206703910614525,0.32,0.3575418994413408,0.6755030644898845,0.2463768115942029,0.72,0.17590361445783131,0.10120481927710843,0.1368715083798883
league,80,68e73ac08be1c9b98aad3250,Naomi Murray,68e739fdc82e39151b79878e,55,21,3,16,370,37,17,432,15,8,73,58,59,3,95,62,13,22,,95,170,0.25675675675675674,0.35,0.4594594594594595,0.8084055952908412,0.27816901408450706,0.6521739130434783,0.16898148148148148,0.08564814814814815,0.20270270270270274
league,81,68e73ae58a70dcdd6a50bf43,Yogi Houston,68e739fdc82e39151b79878e,50,20,0,16,361,38,7,415,14,3,81,41,61,6,73,60,21,33,,86,154,0.23822714681440443,0.32,0.4265927977839335,0.7445539628324772,0.25925925925925924,0.8235294117647058,0.19518072289156627,0.09156626506024096,0.18836565096952906
league,82,68417d9fe63d9bb872889f36,Jenna Pham,68068863ce5a952465d7b88f,54,9,1,7,378,49,11,441,10,8,101,45,29,3,104,41,22,23,,71,103,0.18783068783068782,0.3,0.2724867724867725,0.5695389266817839,0.23443223443223443,0.5555555555555556,0.2290249433106576,0.1111111111111111,0.08465608465608468
league,83,6903f6f0a7130b0dcffb9996,Dorothy Stojanovski,6903f27f3661cfbd8fb5deb1,47,9,0,12,314,50,13,380,17,6,91,40,48,1,71,38,18,19,,68,113,0.21656050955414013,0.35,0.35987261146496813,0.7064334580258147,0.2641509433962264,0.7391304347826086,0.2394736842105263,0.13157894736842105,0.143312101910828
league,84,6887d4be18e81770515c11e1,Zoe Romanova,6886fc0840f292b1184c13bc,0,0,0,1,5,0,1,6,0,0,1,1,3,1,1,1,0,1,,1,4,0.2,0.29,0.8,1.0857142857142859,0.0,,0.16666666666666666,0.0,0.6000000000000001
league,85,68418f11f415a392f734003f,Jeffrey Voigt,680a505c87875f7f639d0379,57,28,3,13,377,37,6,428,10,8,90,53,52,3,83,41,25,24,,101,174,0.26790450928381965,0.34,0.46153846153846156,0.8019639934533551,0.3176895306859206,0.5555555555555556,0.2102803738317757,0.08644859813084112,0.19363395225464192
league,86,6887d46318e81770515b91f1,Jacob Ma,680848f06f38e1fcb9f6f1bb,3,2,0,1,50,8,0,57,3,3,15,6,4,0,11,8,3,1,,6,11,0.12,0.24,0.22,0.4613793103448276,0.14705882352941177,0.5,0.2631578947368421,0.14035087719298245,0.1
league,87,6864c3fb4dca64cf777cebc8,Yuki Franklin,6864c3f593ee59ce6e2dc497,64,16,0,19,392,42,9,456,19,7,96,47,69,8,80,44,26,33,,99,172,0.25255102040816324,0.33,0.4387755102040816,0.771369745237341,0.2807017543859649,0.7307692307692307,0.21052631578947367,0.09210526315789473,0.18622448979591838
league,88,6887d49c18e81770515be063,Mikayla Tan,68419b4308b7fc5e21e8afa3,0,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,1,0,,1,2,0.5,0.5,1.0,1.5,0.5,,0.0,0.0,0.5
league,89,68f1a2df31ef576e99cc3bec,July Chen,68f19da81f851289ff7cffe4,52,15,0,15,372,39,10,429,12,5,67,52,50,4,106,53,23,25,,82,142,0.22043010752688172,0.31,0.3817204301075269,0.6899557242251739,0.22789115646258504,0.7058823529411765,0.1561771561771562,0.09090909090909091,0.16129032258064516
league,90,6887d47718e81770515bad79,Cole Smirnova,680aa067c68e9f3ac834d8d5,0,1,0,0,3,1,1,5,0,0,0,2,1,0,1,0,1,0,,1,2,0.3333333333333333,0.6,0.6666666666666666,1.2666666666666666,0.3333333333333333,,0.0,0.2,0.3333333333333333
league,91,6887d47a18e81770515bb1e8,Quirky Hara,680b055fcb7a15e5259d2c5f,1,0,0,0,2,0,1,4,0,0,0,0,1,0,2,0,0,0,,1,1,0.5,0.67,0.5,1.1666666666666665,0.5,,0.0,0.0,0.0
league,92,68413fd1183c892d88a10074,Ian Fisher,6807b91cad144ec1a39c6640,52,16,1,15,366,41,11,423,17,6,89,55,49,2,90,47,22,22,,84,147,0.22950819672131148,0.32,0.4016393442622951,0.725448868071819,0.26136363636363635,0.7391304347826086,0.21040189125295508,0.09692671394799054,0.1721311475409836
league,93,68411393925dd4f9d72ac07e,Hailey Hailu,68066e2b9edf4f7b46032650,32,7,2,8,186,16,6,210,19,7,40,24,35,2,46,23,7,11,,49,84,0.26344086021505375,0.34,0.45161290322580644,0.7897081413210445,0.29285714285714287,0.7307692307692307,0.19047619047619047,0.0761904761904762,0.1881720430107527
league,94,68411ab488056169e0078a2a,Razzmatazz Phillips,6809cdb51d2800e67a866891,45,10,2,11,347,35,12,400,17,5,86,31,39,4,79,52,24,20,,68,115,0.19596541786743515,0.29,0.3314121037463977,0.6203568273644882,0.22440944881889763,0.7727272727272727,0.215,0.0875,0.13544668587896252
league,95,68410006183c892d88a0fc6a,Jessie Beard,680aa067c68e9f3ac834d8d5,60,17,1,21,371,45,12,435,17,5,78,56,69,6,88,39,27,25,,99,181,0.2668463611859838,0.36,0.48787061994609165,0.8473176245543865,0.2805755395683453,0.7727272727272727,0.1793103448275862,0.10344827586206896,0.22102425876010784
league,96,6886fdf60a4902fcc3c63e97,Rascal Rosario,6886fc0840f292b1184c13bc,65,32,1,13,376,44,12,440,17,2,68,61,64,7,89,41,23,34,,111,184,0.29521276595744683,0.38,0.48936170212765956,0.8697717249067028,0.32450331125827814,0.8947368421052632,0.15454545454545454,0.1,0.19414893617021273
league,97,6887d45c18e81770515b8796,Pogo Roach,6807ce932d90bd2924b77a08,4,2,0,2,34,3,3,38,5,1,12,7,5,0,8,2,3,1,,8,16,0.23529411764705882,0.35,0.47058823529411764,0.8205882352941176,0.3,0.8333333333333334,0.3157894736842105,0.07894736842105263,0.23529411764705882
league,98,68419a94f415a392f734007e,Martin Hirano,68065ab9709b8b12f78c2a9e,76,22,1,17,408,46,13,476,19,5,119,80,53,5,86,33,22,22,,116,191,0.28431372549019607,0.37,0.4681372549019608,0.8388999667663676,0.3574007220216607,0.7916666666666666,0.25,0.09663865546218488,0.18382352941176472
league,99,6903f6a440bb7dc07c378153,Sizzle Atkins,6903f27f3661cfbd8fb5deb1,64,9,1,19,360,23,13,398,17,5,78,47,47,0,87,57,15,22,,93,161,0.25833333333333336,0.33,0.44722222222222224,0.772979797979798,0.2813688212927757,0.7727272727272727,0.19597989949748743,0.05778894472361809,0.18888888888888888
league,100,68419b57295b2368c0ac7a42,Natalie Frandsen,68419b4308b7fc5e21e8afa3,87,19,3,21,386,42,6,440,23,8,64,83,64,3,91,42,22,29,,130,218,0.33678756476683935,0.41,0.5647668393782384,0.9720894938404809,0.35855263157894735,0.7419354838709677,0.14545454545454545,0.09545454545454546,0.227979274611399
league,101,6887d46518e81770515b94a9,Buck Daniels,68086624089c4cd53528e758,0,0,0,0,2,0,1,3,0,0,2,0,0,0,0,0,0,0,,0,0,0.0,0.33,0.0,0.3333333333333333,,,0.6666666666666666,0.0,0.0
league,102,689a6b8eb9a65e8224403059,Beatrice Mamdani,689a686a19fb922f37f625d7,56,21,1,11,383,50,7,444,18,9,90,50,47,1,97,48,17,29,,89,145,0.23237597911227154,0.33,0.3785900783289817,0.7096558379661699,0.2756183745583039,0.6666666666666666,0.20270270270270271,0.11261261261261261,0.1462140992167102
league,103,6842cc7b925dd4f9d72ac599,Melanie Kramer,6807c5cd4251378d1ace10ba,44,17,2,18,352,57,7,422,17,11,82,50,53,3,84,63,9,26,,81,156,0.23011363636363635,0.35,0.4431818181818182,0.7892438706877848,0.24705882352941178,0.6071428571428571,0.1943127962085308,0.13507109004739337,0.21306818181818182
league,104,68410aaeec9dc637cfd0cc05,Gustavo Blažević,680848f06f38e1fcb9f6f1bb,56,17,1,14,370,30,16,419,14,3,88,53,47,3,83,55,23,18,,88,149,0.23783783783783785,0.32,0.4027027027027027,0.7225117719151132,0.2730627306273063,0.8235294117647058,0.2100238663484487,0.07159904534606205,0.16486486486486485
league,105,6887d44818e81770515b6a7d,Cletus Makris,68066e2b9edf4f7b46032650,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
league,106,6886fd2e9c9798d12e908812,Hiccup Rush,6886fc0840f292b1184c13bc,61,16,1,22,378,35,4,422,18,9,88,64,64,4,72,55,21,23,,100,184,0.26455026455026454,0.33,0.48677248677248675,0.8169387575563347,0.2867647058823529,0.6666666666666666,0.20853080568720378,0.08293838862559241,0.2222222222222222
league,107,6887d44818e81770515b6aa3,Seok-Jin Birch,68067036709b8b12f78c2c2c,13,2,0,2,96,6,1,103,4,3,24,8,6,0,26,15,5,8,,17,25,0.17708333333333334,0.23,0.2604166666666667,0.49342637540453077,0.21428571428571427,0.5714285714285714,0.23300970873786409,0.05825242718446602,0.08333333333333334
league,108,6887d48118e81770515bb9a9,Alfred Laville,680e5f047d5b06095ef46ccb,0,0,0,1,2,0,0,2,0,0,0,1,2,0,0,1,0,0,,1,4,0.5,0.5,2.0,2.5,0.0,,0.0,0.0,1.5
league,109,68af35a1279d12c878786272,Herbert Demir,68af35507d5388c228803f89,45,16,0,5,375,32,10,420,11,7,119,33,22,2,79,49,23,26,,66,97,0.176,0.26,0.25866666666666666,0.51642322991249,0.24110671936758893,0.6111111111111112,0.2833333333333333,0.0761904761904762,0.08266666666666667
league,110,6842c94aec9dc637cfd0d1a3,Niblet Moloney,6807c5cd4251378d1ace10ba,46,13,1,21,349,35,10,398,14,4,110,43,51,2,60,53,18,16,,81,159,0.23209169054441262,0.32,0.45558739255014324,0.7737692107319614,0.2727272727272727,0.7777777777777778,0.27638190954773867,0.08793969849246232,0.22349570200573063
league,111,6840fa628ba62cf2ce8d8bcb,Lais Magnusson,6812ebfb21bca5921ffa8d10,23,14,3,15,170,15,3,189,8,1,43,32,41,1,31,16,7,12,,55,120,0.3235294117647059,0.39,0.7058823529411765,1.0921257391845627,0.35398230088495575,0.8888888888888888,0.2275132275132275,0.07936507936507936,0.3823529411764706
league,112,6903c1988caabaa7d6f1d491,Lucille Thompson,690392510eddc2cb91160c08,40,12,0,8,323,41,16,385,10,6,85,37,31,3,82,53,17,18,,60,96,0.18575851393188855,0.31,0.29721362229102166,0.6026966510116483,0.22317596566523606,0.625,0.22077922077922077,0.10649350649350649,0.11145510835913311
league,113,6887d47518e81770515baab1,Harrietta Lopez,680a505c87875f7f639d0379,0,0,0,0,5,0,0,5,0,0,2,0,0,0,1,1,1,0,,0,0,0.0,0.0,0.0,0.0,0.0,,0.4,0.0,0.0
league,114,6840fb59e2d7557e153cc1db,Raymond Forsythe,6807c8564251378d1ace110c,0,1,0,0,7,2,0,9,0,0,2,0,0,0,2,2,0,0,,1,2,0.14285714285714285,0.33,0.2857142857142857,0.6190476190476191,0.2,,0.2222222222222222,0.2222222222222222,0.14285714285714285
league,115,68f19da81f851289ff7cffe7,Jake Pike,68f19da81f851289ff7cffe4,0,0,0,0,2,1,0,3,0,0,1,1,0,0,1,0,0,0,,0,0,0.0,0.33,0.0,0.3333333333333333,0.0,,0.3333333333333333,0.3333333333333333,0.0
league,116,6887d46118e81770515b8e77,Virginia Hansen,6808246f1f942c4511716715,1,0,0,0,2,1,0,3,0,0,1,0,1,0,0,0,0,0,,1,1,0.5,0.67,0.5,1.1666666666666665,1.0,,0.3333333333333333,0.3333333333333333,0.0
league,117,6840fdd2925dd4f9d72abd02,Emma Alfaro,68067036709b8b12f78c2c2c,3,0,0,0,14,5,0,20,2,1,4,4,0,0,4,1,1,0,,3,3,0.21428571428571427,0.42,0.21428571428571427,0.6353383458646616,0.3,0.6666666666666666,0.2,0.25,0.0
league,118,6887d44818e81770515b6a7e,Candice Thorpe,68066e2b9edf4f7b46032650,0,0,0,0,3,0,0,3,0,0,1,0,0,0,1,0,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,,0.3333333333333333,0.0,0.0
league,119,6841dec954a7fbd413387734,June Lewis,680935632198112ec9cdb904,59,15,0,15,391,55,14,466,24,7,98,52,51,3,93,52,15,25,,89,149,0.22762148337595908,0.34,0.38107416879795397,0.7223268685819713,0.26334519572953735,0.7741935483870968,0.21030042918454936,0.11802575107296137,0.1534526854219949
league,120,6840fc0554a7fbd413386ea3,Nettie Koch,6812ebfb21bca5921ffa8d10,28,5,1,4,164,24,3,193,5,6,34,26,14,2,35,15,12,15,,38,57,0.23170731707317074,0.34,0.3475609756097561,0.6843485403765954,0.265625,0.45454545454545453,0.17616580310880828,0.12435233160621761,0.11585365853658533
league,121,6903c25c73ce17a3bea68ca3,Nicole Kaline,690392510eddc2cb91160c08,52,6,1,10,285,29,8,326,18,2,95,36,27,3,61,25,16,12,,69,107,0.24210526315789474,0.33,0.37543859649122807,0.7015924426450741,0.3224043715846995,0.9,0.29141104294478526,0.08895705521472393,0.13333333333333333
league,122,68f921929cbe566a853c2cca,Isabelle Nixon,68f9208985bfb4d8eac4e489,38,10,0,11,274,24,8,309,4,9,58,33,33,2,64,45,13,19,,59,102,0.21532846715328466,0.3,0.3722627737226277,0.6677173191771733,0.2318840579710145,0.3076923076923077,0.18770226537216828,0.07766990291262135,0.15693430656934307
league,123,6875091030105d5ca836ad5b,Jazzy Goddard,68750273e326fdcbc2ee201d,4,1,0,0,36,2,0,41,1,0,10,2,5,2,10,6,2,4,,5,6,0.1388888888888889,0.18,0.16666666666666666,0.3416666666666667,0.17857142857142858,1.0,0.24390243902439024,0.04878048780487805,0.027777777777777762
league,124,689a686a19fb922f37f625da,Carwyn Cortez,689a686a19fb922f37f625d7,1,0,0,0,15,3,0,18,1,0,6,1,0,0,5,0,1,2,,1,1,0.06666666666666667,0.22,0.06666666666666667,0.28888888888888886,0.1111111111111111,1.0,0.3333333333333333,0.16666666666666666,0.0
league,125,68457762896f631e9d689848,Mikayla Grigoryan,681e92c41017959663077c0c,58,19,2,15,402,43,9,458,20,5,90,57,44,2,96,52,17,30,,94,162,0.23383084577114427,0.32,0.40298507462686567,0.723160513223357,0.26421404682274247,0.8,0.1965065502183406,0.09388646288209607,0.1691542288557214
league,126,6887d44e18e81770515b73d3,Kid Claes,6806c5dff9b67839f528be60,33,10,1,6,258,28,8,299,9,4,70,29,26,5,66,32,13,12,,50,80,0.1937984496124031,0.29,0.31007751937984496,0.5977029374400455,0.23529411764705882,0.6923076923076923,0.23411371237458195,0.09364548494983277,0.11627906976744184
league,127,6806de35f9b67839f528c025,Caleb Barton,68077beaee9f269dec7251e9,55,19,2,15,385,55,12,455,15,2,114,59,48,1,68,43,26,27,,91,159,0.23636363636363636,0.35,0.412987012987013,0.7617728849516929,0.29571984435797666,0.8823529411764706,0.25054945054945055,0.12087912087912088,0.17662337662337665
league,128,68e739fdc82e39151b798792,Chime Besutigul,68e739fdc82e39151b79878e,6,1,1,0,34,0,1,36,1,0,13,1,4,1,7,3,1,1,,8,11,0.23529411764705882,0.25,0.3235294117647059,0.5735294117647058,0.36363636363636365,1.0,0.3611111111111111,0.0,0.08823529411764708
league,129,6887d46518e81770515b94ad,Sylvia Guerin,68086624089c4cd53528e758,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0
league,130,68f9211a85bfb4d8eac4e49d,Earl McCovey,68f9208985bfb4d8eac4e489,43,10,1,12,268,25,8,305,10,4,66,31,38,2,71,31,12,12,,66,114,0.2462686567164179,0.33,0.4253731343283582,0.752105807595685,0.28125,0.7142857142857143,0.21639344262295082,0.08196721311475409,0.17910447761194032
league,131,684106118ba62cf2ce8d8ff9,Débora Lauridsen,68100c08c541cfa149e721e3,62,15,1,18,399,37,10,452,12,5,104,48,47,2,89,49,22,30,,96,167,0.24060150375939848,0.32,0.41854636591478694,0.7377427944862155,0.27956989247311825,0.7058823529411765,0.23008849557522124,0.08185840707964602,0.17794486215538846
league,132,6841fccd8ba62cf2ce8d951f,Donna Volkov,68069a789edf4f7b46032846,2,0,0,0,12,2,0,14,0,0,3,0,0,0,2,3,0,1,,2,2,0.16666666666666666,0.29,0.16666666666666666,0.45238095238095233,0.2222222222222222,,0.21428571428571427,0.14285714285714285,0.0
league,133,6841056c144e874e6deb84b1,Fox Dudley,68080deac78ad8242ad625a6,54,10,3,21,369,72,9,456,27,8,119,67,63,2,60,51,18,21,,88,167,0.23848238482384823,0.37,0.45257452574525747,0.8264683310549921,0.29004329004329005,0.7714285714285715,0.26096491228070173,0.15789473684210525,0.21409214092140924
league,134,6887d4b818e81770515c0978,Kaori Payne,68796dd8ee911b762e00736d,1,0,0,0,6,2,0,7,0,0,1,0,0,0,2,1,0,1,,1,1,0.16666666666666666,0.38,0.16666666666666666,0.5416666666666666,0.2,,0.14285714285714285,0.2857142857142857,0.0
league,135,68e73a0f066bad1929369995,Rodney Anderson,68e739fdc82e39151b79878e,51,17,2,19,387,39,13,447,15,5,99,57,53,6,82,57,26,24,,89,167,0.22997416020671835,0.32,0.4315245478036176,0.7483784803878872,0.2545454545454545,0.75,0.2214765100671141,0.087248322147651,0.20155038759689925
league,136,6903c22cbffe2b064944ee1f,Ricky Travis,690392510eddc2cb91160c08,37,14,0,15,312,50,9,375,12,3,101,38,45,2,59,47,16,15,,66,125,0.21153846153846154,0.34,0.40064102564102566,0.735761669072661,0.25757575757575757,0.8,0.2693333333333333,0.13333333333333333,0.18910256410256412
league,137,6887d44718e81770515b695e,Ball Guo,680664c9709b8b12f78c2b83,4,1,0,1,22,4,0,26,2,1,2,2,2,0,6,5,2,1,,6,10,0.2727272727272727,0.38,0.45454545454545453,0.8391608391608392,0.2631578947368421,0.6666666666666666,0.07692307692307693,0.15384615384615385,0.18181818181818182
league,138,6840fa74144e874e6deb812f,T. Fenton,6807927bce5a952465d7c51d,46,27,2,16,380,47,11,445,12,4,94,54,51,6,92,48,14,27,,91,170,0.2394736842105263,0.34,0.4473684210526316,0.7829540066382172,0.2717391304347826,0.75,0.21123595505617979,0.10561797752808989,0.20789473684210527
league,139,68af3639cdfb7d3352b3eb56,Chuck McGuire,68af35507d5388c228803f89,24,7,1,9,208,14,9,234,3,1,64,22,26,2,35,30,11,14,,41,77,0.1971153846153846,0.27,0.3701923076923077,0.6448704192802905,0.23357664233576642,0.75,0.27350427350427353,0.05982905982905983,0.1730769230769231
league,140,6841b96fec9dc637cfd0d00e,Pipsqueak Alhussan,680b055fcb7a15e5259d2c5f,57,20,0,17,393,51,5,458,13,9,77,58,59,4,106,60,20,27,,94,165,0.23918575063613232,0.33,0.4198473282442748,0.7509731560588444,0.25412541254125415,0.5909090909090909,0.16812227074235808,0.11135371179039301,0.18066157760814247
league,141,6864c464b603bb1c12262218,Stacy Burgess,6864c3f593ee59ce6e2dc497,66,12,1,12,397,45,15,459,14,8,95,62,37,1,92,49,25,21,,91,141,0.22921914357682618,0.33,0.35516372795969775,0.6848580511038025,0.27147766323024053,0.6363636363636364,0.20697167755991286,0.09803921568627451,0.12594458438287157
league,142,6887d48018e81770515bb907,Karina Huff,680e477a7d5b06095ef46ad1,0,0,0,1,3,0,0,3,0,0,1,1,1,0,1,0,0,0,,1,4,0.3333333333333333,0.33,1.3333333333333333,1.6666666666666665,0.0,,0.3333333333333333,0.0,1.0
league,143,68e73af88a70dcdd6a50bf46,David Ioane,68e739fdc82e39151b79878e,42,9,1,16,322,61,11,401,8,4,102,56,44,1,70,43,13,14,,68,127,0.2111801242236025,0.35,0.3944099378881988,0.7488403176350342,0.25365853658536586,0.6666666666666666,0.2543640897755611,0.15211970074812967,0.18322981366459629
league,144,68419ba588056169e0078cae,Yasmin Mbabazi,68419b4308b7fc5e21e8afa3,64,19,4,28,364,46,13,434,17,9,66,62,82,6,90,37,20,27,,115,226,0.3159340659340659,0.41,0.6208791208791209,1.0264735264735265,0.31521739130434784,0.6538461538461539,0.15207373271889402,0.10599078341013825,0.30494505494505497
league,145,6887d46018e81770515b8d5c,Norma Heath,68080deac78ad8242ad625a6,0,0,0,0,4,0,0,4,0,0,1,0,0,0,0,0,0,3,,0,0,0.0,0.0,0.0,0.0,0.0,,0.25,0.0,0.0
league,146,6887d46018e81770515b8d5a,Ken Medrano,68080deac78ad8242ad625a6,0,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,,0,0,0.0,0.5,0.0,0.5,,,0.5,0.5,0.0
league,147,6903f6953661cfbd8fb5dec6,Lottie Font,6903f27f3661cfbd8fb5deb1,35,10,1,9,317,53,13,384,27,4,128,43,33,1,67,29,14,11,,55,94,0.17350157728706625,0.32,0.29652996845425866,0.6116341351209253,0.2541436464088398,0.8709677419354839,0.3333333333333333,0.13802083333333334,0.12302839116719241
league,148,6840fccbed58166c1895a99d,N. Diallo,680aa067c68e9f3ac834d8d5,67,22,5,23,449,38,11,505,28,10,97,74,69,5,102,65,27,23,,117,218,0.26057906458797325,0.33,0.48552338530066813,0.815543266016374,0.281437125748503,0.7368421052631579,0.19207920792079208,0.07524752475247524,0.22494432071269488
league,149,68870decce0b8a1e2e56e88b,Yara Rollins,6807ce932d90bd2924b77a08,64,12,2,19,379,41,15,438,12,8,108,57,47,3,70,50,18,20,,97,170,0.2559366754617414,0.35,0.44854881266490765,0.7978638811580583,0.3058823529411765,0.6,0.2465753424657534,0.09360730593607305,0.19261213720316622
league,150,6841b312ec9dc637cfd0cfef,Elvis Bonnet,680e5f047d5b06095ef46ccb,60,19,2,14,378,78,18,478,65,15,95,72,46,3,88,41,25,20,,95,160,0.25132275132275134,0.4,0.42328042328042326,0.8236997104921633,0.2977941176470588,0.8125,0.19874476987447698,0.16317991631799164,0.17195767195767192
league,151,68418d2aed58166c1895b02a,Teddy Richard,680a505c87875f7f639d0379,64,25,1,16,388,42,14,449,25,16,84,63,50,3,91,45,25,23,,106,181,0.27319587628865977,0.36,0.46649484536082475,0.8289109527433751,0.30927835051546393,0.6097560975609756,0.1870824053452116,0.0935412026726058,0.19329896907216498
league,152,6840fe80e2d7557e153cc354,Flapdoodle Im,68067036709b8b12f78c2c2c,57,14,2,16,339,37,9,391,28,7,66,52,49,1,90,54,15,18,,89,155,0.26253687315634217,0.35,0.45722713864306785,0.8069680712855549,0.28294573643410853,0.8,0.16879795396419436,0.09462915601023018,0.1946902654867257
league,153,6805db0dac48194de3cd4166,Daniela Valerio,6805db0dac48194de3cd4160,22,3,2,6,152,34,6,193,12,2,38,24,19,1,35,24,8,6,,33,58,0.21710526315789475,0.38,0.3815789473684211,0.759817289337333,0.24770642201834864,0.8571428571428571,0.19689119170984457,0.17616580310880828,0.16447368421052633
league,154,68e73bdc066bad1929369998,Huan Moody,68e739fdc82e39151b79878e,67,10,2,19,430,27,16,481,14,3,103,61,52,4,92,51,38,33,,98,169,0.22790697674418606,0.3,0.3930232558139535,0.688620740090683,0.2532051282051282,0.8235294117647058,0.21413721413721415,0.056133056133056136,0.16511627906976742
league,155,6845b877896f631e9d68985d,Kristina Rush,68077beaee9f269dec7251e9,14,7,0,7,106,14,7,127,7,6,29,21,19,0,28,12,5,2,,28,56,0.2641509433962264,0.39,0.5283018867924528,0.9141286584459961,0.3,0.5384615384615384,0.2283464566929134,0.11023622047244094,0.2641509433962264
league,156,6887d4b118e81770515bfea0,Everett Winters,6864c3f593ee59ce6e2dc497,6,1,0,1,31,3,0,33,1,0,7,5,3,0,6,2,3,4,,8,12,0.25806451612903225,0.32,0.3870967741935484,0.7106261859582543,0.30434782608695654,1.0,0.21212121212121213,0.09090909090909091,0.12903225806451613
league,157,68414acbed58166c1895af4d,Nadine Somersby,680b055fcb7a15e5259d2c5f,69,29,1,14,414,45,11,475,32,5,104,59,50,4,81,61,18,25,,113,186,0.27294685990338163,0.36,0.4492753623188406,0.8058154467070262,0.33,0.8648648648648649,0.21894736842105264,0.09473684210526316,0.17632850241545894
league,158,6841ed16ec9dc637cfd0d0cc,Clarence Meyers,680e477a7d5b06095ef46ad1,77,14,3,11,411,36,24,473,13,8,110,53,36,0,96,35,16,36,Batter,105,158,0.25547445255474455,0.35,0.3844282238442822,0.7347466951818618,0.32413793103448274,0.6190476190476191,0.23255813953488372,0.07610993657505286,0.12895377128953767
league,159,68411d4fec9dc637cfd0cd5f,Rex Wild,6808246f1f942c4511716715,67,16,2,11,382,29,11,429,15,7,105,51,49,2,91,36,21,24,,96,149,0.2513089005235602,0.32,0.3900523560209424,0.7108070730020745,0.31716417910447764,0.6818181818181818,0.24475524475524477,0.0675990675990676,0.1387434554973822
