,,player_id,player_name,team_id,singles,doubles,triples,home_runs,at_bats,walked,hit_by_pitch,plate_appearances,stolen_bases,caught_stealing,struck_out,runs,runs_batted_in,sac_flies,groundouts,flyouts,popouts,lineouts,positiontype,hitting,TB,BA,OBP,SLG,OPS,BABIP,SB%,K%,BB%,ISO
league,6,6887d45a18e81770515b8556,Olmec Wilkerson,6807b91cad144ec1a39c6640,29,5,0,7,166,18,5,189,0,1,52,21,22,0,27,15,9,11,,41,67,0.2469879518072289,0.34,0.4036144578313253,0.7422387964556639,0.3177570093457944,0.0,0.2751322751322751,0.09523809523809523,0.15662650602409642
league,7,68f1a45f5be684b49854de50,Ronnie Kovač,68f19da81f851289ff7cffe4,58,21,2,13,366,26,16,415,15,1,88,48,46,5,77,51,12,29,,94,158,0.2568306010928962,0.33,0.43169398907103823,0.7609918098942827,0.3,0.9375,0.21204819277108433,0.06265060240963856,0.17486338797814205
league,8,68410840e63d9bb872889b81,Han-Soo Blanchard,68100c08c541cfa149e721e3,76,17,4,16,402,51,11,473,22,4,96,65,77,6,77,55,21,22,,113,186,0.2810945273631841,0.37,0.4626865671641791,0.835026992696094,0.3277027027027027,0.8461538461538461,0.2029598308668076,0.10782241014799154,0.18159203980099503
league,9,6887d44918e81770515b6ced,Geoff Saetang,68068db3f9b67839f528ba3b,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,1.0,,,,,0.0,1.0,
league,10,6887d45a18e81770515b846d,Jupiter Thorsen,6807b079ad144ec1a39c65bb,11,2,0,0,44,1,1,45,2,3,13,6,5,0,11,3,3,1,,13,15,0.29545454545454547,0.33,0.3409090909090909,0.6669960474308301,0.41935483870967744,0.4,0.28888888888888886,0.022222222222222223,0.045454545454545414
league,11,6840fec4295b2368c0ac7435,Nikolai Takagi,6806c5dff9b67839f528be60,34,3,1,8,192,24,7,227,2,4,52,26,27,2,41,33,10,5,,46,75,0.23958333333333334,0.34,0.390625,0.7328472222222222,0.2835820895522388,0.3333333333333333,0.2290748898678414,0.10572687224669604,0.15104166666666666
league,12,6887d49618e81770515bd742,Jago Telephone,681e92c41017959663077c0c,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,1,0,0,,0,0,0.0,0.0,0.0,0.0,0.0,,0.5,0.0,0.0
league,13,6840fa5b8d67c531e89fdca7,Dara Takeda,68068db3f9b67839f528ba3b,51,18,0,17,376,49,12,443,27,3,81,47,42,5,91,54,30,27,,86,155,0.22872340425531915,0.33,0.4122340425531915,0.7448132280735535,0.24381625441696114,0.9,0.18284424379232506,0.11060948081264109,0.18351063829787237
league,14,6841006f8ba62cf2ce8d8ea8,Ray Callahan,68068db3f9b67839f528ba3b,62,17,3,26,390,58,7,465,24,10,84,66,76,5,83,55,24,24,,108,209,0.27692307692307694,0.38,0.5358974358974359,0.9119843924191751,0.28771929824561404,0.7058823529411765,0.18064516129032257,0.12473118279569892,0.25897435897435894
league,15,6840fae6e63d9bb8728896ab,Albert Hobbs,680aa067c68e9f3ac834d8d5,65,20,2,19,396,52,17,474,12,7,94,74,71,6,71,68,20,20,,106,187,0.2676767676767677,0.37,0.4722222222222222,0.8437721160651097,0.30103806228373703,0.631578947368421,0.19831223628691982,0.10970464135021098,0.20454545454545453
league,16,6887d49618e81770515bd743,Diego Kelly,681e92c41017959663077c0c,7,1,0,3,72,9,1,82,3,1,31,10,8,1,12,9,3,4,,11,21,0.1527777777777778,0.25,0.2916666666666667,0.5446787148594378,0.20512820512820512,0.75,0.3780487804878049,0.10975609756097561,0.1388888888888889
league,17,687507fcf539f2780d03bb35,Boyfriend Leonard,68750273e326fdcbc2ee201d,7,1,0,1,39,7,1,47,1,0,8,6,7,0,9,6,5,2,,9,13,0.23076923076923078,0.36,0.3333333333333333,0.6950354609929078,0.26666666666666666,1.0,0.1702127659574468,0.14893617021276595,0.10256410256410253
league,18,6841e3e2554d8039701f1e02,Selena Hester,680935632198112ec9cdb904,40,15,2,17,362,50,13,430,14,9,111,61,46,5,73,48,17,16,,74,144,0.20441988950276244,0.32,0.39779005524861877,0.7163947064114095,0.2384937238493724,0.6086956521739131,0.25813953488372093,0.11627906976744186,0.19337016574585633
league,19,68412d078d67c531e89fe2ea,Steve O'Leary,6807b91cad144ec1a39c6640,48,17,2,15,374,43,21,443,10,2,110,59,43,1,89,47,18,20,,82,148,0.2192513368983957,0.33,0.39572192513368987,0.7282959570243505,0.268,0.8333333333333334,0.24830699774266365,0.09706546275395034,0.17647058823529416
league,20,6841add5144e874e6deb88e5,Ethan Leroux,680e5f047d5b06095ef46ccb,71,23,4,12,384,53,3,450,23,5,98,60,49,6,69,41,15,39,,110,177,0.2864583333333333,0.37,0.4609375,0.8331348094170403,0.35,0.8214285714285714,0.21777777777777776,0.11777777777777777,0.17447916666666669
league,21,6805db0dac48194de3cd4168,Agnes Christie,6805db0dac48194de3cd4160,25,7,0,6,192,28,10,232,16,9,66,21,19,1,38,17,20,6,,38,63,0.19791666666666666,0.33,0.328125,0.657129329004329,0.2644628099173554,0.64,0.28448275862068967,0.1206896551724138,0.13020833333333334
league,22,68796ec7762fe1c1e4769841,Cheng Ashcroft,68796dd8ee911b762e00736d,63,28,1,7,362,28,16,410,15,7,86,49,49,4,73,46,15,28,,99,150,0.27348066298342544,0.35,0.4143646408839779,0.763145128688856,0.336996336996337,0.6818181818181818,0.2097560975609756,0.06829268292682927,0.14088397790055246
league,23,68414e25ed58166c1895af58,Sophia Huff,680b055fcb7a15e5259d2c5f,41,12,1,22,343,50,9,404,18,4,96,55,49,1,78,44,11,23,,76,156,0.22157434402332363,0.33,0.45481049562682213,0.7897980886789313,0.23893805309734514,0.8181818181818182,0.2376237623762376,0.12376237623762376,0.2332361516034985
league,24,6887d4be18e81770515c11e6,Vapor Abrego,6886fc0840f292b1184c13bc,0,1,0,1,3,0,0,3,0,0,0,2,1,0,0,1,0,0,,2,6,0.6666666666666666,0.67,2.0,2.6666666666666665,0.5,,0.0,0.0,1.3333333333333335
league,25,6841090a54a7fbd41338721d,Blubber Harding,68068db3f9b67839f528ba3b,46,9,0,8,375,35,13,427,9,7,125,30,29,1,74,48,20,27,,63,96,0.168,0.26,0.256,0.5177924528301887,0.22633744855967078,0.5625,0.2927400468384075,0.08196721311475409,0.088
league,26,68413bea88056169e0078b99,Viola Frederick,6807b91cad144ec1a39c6640,67,16,1,26,433,48,6,494,19,6,97,67,59,4,124,39,18,30,,110,206,0.2540415704387991,0.33,0.47575057736720555,0.8097627973264723,0.267515923566879,0.76,0.19635627530364372,0.09716599190283401,0.22170900692840645
league,27,6840fd63e63d9bb87288987c,Pascal Lexington,68067036709b8b12f78c2c2c,41,17,1,10,286,38,16,346,30,4,91,54,29,4,59,34,11,11,,69,118,0.24125874125874125,0.36,0.4125874125874126,0.7701455521222964,0.31216931216931215,0.8823529411764706,0.2630057803468208,0.10982658959537572,0.17132867132867136
league,28,684115b0ec9dc637cfd0cce7,Daigo Coffee,6808246f1f942c4511716715,56,24,1,22,406,21,10,441,11,1,103,63,57,2,88,54,21,28,,103,195,0.2536945812807882,0.31,0.4802955665024631,0.7855347464569049,0.2862190812720848,0.9166666666666666,0.23356009070294784,0.047619047619047616,0.22660098522167488
league,29,6841bb7be63d9bb87288a05f,Nate Flowers,680e477a7d5b06095ef46ad1,40,21,1,15,355,61,10,436,11,8,102,49,53,6,63,51,20,26,Batter,77,145,0.21690140845070421,0.34,0.4084507042253521,0.7510432968179448,0.2540983606557377,0.5789473684210527,0.23394495412844038,0.13990825688073394,0.1915492957746479
league,30,6842d05e554d8039701f1eea,Alexandra de Los Santos,6807c5cd4251378d1ace10ba,55,21,4,10,374,23,10,416,9,3,84,52,46,5,94,55,16,19,,90,149,0.24064171122994651,0.3,0.3983957219251337,0.6969394112455221,0.2807017543859649,0.75,0.20192307692307693,0.055288461538461536,0.15775401069518716
league,31,6845b3e6295b2368c0ac7dd4,Cindy Benitez,68077beaee9f269dec7251e9,62,28,2,21,432,34,15,485,15,5,128,76,63,2,92,49,23,20,,113,208,0.26157407407407407,0.34,0.48148148148148145,0.816885208189556,0.32280701754385965,0.75,0.2639175257731959,0.07010309278350516,0.21990740740740738
