outer_id,inner_id,allowed_stolen_bases,allowed_stolen_bases_risp,assists,assists_risp,at_bats,at_bats_risp,caught_stealing,caught_stealing_risp,double_plays,double_plays_risp,doubles,doubles_risp,field_out,field_out_risp,flyouts,flyouts_risp,force_outs,force_outs_risp,grounded_into_double_play,grounded_into_double_play_risp,groundouts,groundouts_risp,hit_by_pitch,hit_by_pitch_risp,home_runs,home_runs_risp,left_on_base,left_on_base_risp,lineouts,lineouts_risp,plate_appearances,plate_appearances_risp,popouts,popouts_risp,putouts,putouts_risp,reached_on_error,reached_on_error_risp,runners_caught_stealing,runners_caught_stealing_risp,runs,runs_batted_in,runs_batted_in_risp,runs_risp,sac_flies,singles,singles_risp,stolen_bases,stolen_bases_risp,struck_out,struck_out_risp,triples,walked,walked_risp,caught_double_play,caught_double_play_risp,errors,errors_risp,fielders_choice,fielders_choice_risp,appearances,batters_faced,batters_faced_risp,games_finished,outs,pitches_thrown,pitches_thrown_risp,strikeouts,strikeouts_risp,triples_risp,earned_runs,earned_runs_risp,hit_batters,hit_batters_risp,hits_allowed,hits_allowed_risp,home_runs_allowed,home_runs_allowed_risp,losses,mound_visits,quality_starts,starts,walks,walks_risp,wins,complete_games,ejected,unearned_runs,unearned_runs_risp,balks,balks_risp,inherited_runners,inherited_runners_risp,inherited_runs_allowed,inherited_runs_allowed_risp,blown_saves,saves,sacrifice_double_plays,sacrifice_double_plays_risp,shutouts,no_hitters
68066dc6ee9f269dec724506,68412d0d08b7fc5e21e8ade3,nan,nan,14.0,7.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,1.0,nan,nan,19.0,431.0,105.0,9.0,301.0,1548.0,420.0,115.0,25.0,nan,50.0,36.0,14.0,1.0,71.0,18.0,13.0,2.0,5.0,10.0,6.0,14.0,52.0,17.0,6.0,4.0,nan,nan,nan,nan,nan,4.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan
68066dc6ee9f269dec724506,68412da5295b2368c0ac786f,nan,nan,5.0,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0,250.0,91.0,17.0,173.0,837.0,318.0,58.0,28.0,nan,24.0,15.0,5.0,3.0,52.0,18.0,11.0,3.0,5.0,7.0,nan,nan,23.0,8.0,8.0,nan,nan,4.0,4.0,nan,nan,26.0,26.0,10.0,10.0,nan,nan,nan,nan,nan,nan
68066dc6ee9f269dec724506,68412bb18d67c531e89fe2d7,nan,nan,6.0,2.0,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0,327.0,111.0,12.0,222.0,1165.0,448.0,87.0,30.0,nan,27.0,24.0,5.0,1.0,64.0,24.0,2.0,nan,3.0,10.0,1.0,3.0,45.0,19.0,3.0,nan,nan,1.0,1.0,nan,nan,22.0,22.0,9.0,9.0,nan,nan,nan,nan,nan,nan
68066dc6ee9f269dec724506,68412e358d67c531e89fe2f6,nan,nan,8.0,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,38.0,154.0,44.0,36.0,112.0,532.0,152.0,36.0,12.0,nan,16.0,13.0,5.0,3.0,29.0,9.0,6.0,3.0,3.0,3.0,nan,nan,13.0,4.0,1.0,nan,nan,2.0,2.0,nan,nan,nan,nan,nan,nan,6.0,32.0,nan,nan,nan,nan
6806898df9b67839f528ba08,68410d2e896f631e9d6891c3,92.0,24.0,55.0,24.0,289.0,53.0,4.0,2.0,2.0,2.0,13.0,1.0,135.0,24.0,38.0,4.0,7.0,1.0,6.0,2.0,71.0,13.0,10.0,3.0,12.0,2.0,64.0,43.0,15.0,2.0,330.0,55.0,18.0,8.0,581.0,152.0,3.0,1.0,44.0,19.0,37.0,29.0,13.0,27.0,1.0,35.0,3.0,20.0,3.0,78.0,20.0,nan,28.0,5.0,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan
6806898df9b67839f528ba08,68410d9e295b2368c0ac7722,nan,nan,14.0,4.0,271.0,62.0,6.0,1.0,49.0,8.0,12.0,3.0,122.0,24.0,28.0,3.0,6.0,2.0,3.0,nan,70.0,15.0,7.0,2.0,9.0,4.0,63.0,38.0,9.0,2.0,318.0,63.0,19.0,5.0,583.0,115.0,1.0,1.0,nan,nan,37.0,26.0,21.0,30.0,2.0,36.0,10.0,19.0,10.0,79.0,17.0,1.0,37.0,5.0,nan,nan,2.0,1.0,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6806898df9b67839f528ba08,6842837c896f631e9d689693,nan,nan,179.0,40.0,225.0,52.0,6.0,3.0,33.0,6.0,4.0,nan,99.0,18.0,24.0,7.0,5.0,1.0,4.0,nan,53.0,9.0,8.0,2.0,8.0,2.0,59.0,41.0,13.0,1.0,267.0,55.0,13.0,1.0,133.0,30.0,3.0,nan,nan,nan,32.0,24.0,16.0,21.0,1.0,37.0,12.0,9.0,1.0,64.0,18.0,nan,33.0,5.0,nan,nan,3.0,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6806898df9b67839f528ba08,6842841ce63d9bb87288a209,nan,nan,122.0,22.0,254.0,73.0,7.0,3.0,14.0,4.0,9.0,2.0,109.0,24.0,25.0,5.0,11.0,7.0,6.0,1.0,59.0,14.0,6.0,1.0,7.0,1.0,77.0,59.0,18.0,6.0,309.0,80.0,16.0,3.0,63.0,41.0,1.0,1.0,nan,nan,28.0,30.0,20.0,21.0,2.0,40.0,15.0,7.0,2.0,69.0,21.0,1.0,44.0,13.0,1.0,1.0,5.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6806898df9b67839f528ba08,68428477ec9dc637cfd0d18d,nan,nan,179.0,44.0,249.0,70.0,2.0,1.0,29.0,8.0,9.0,3.0,97.0,26.0,33.0,9.0,12.0,6.0,8.0,2.0,51.0,10.0,6.0,1.0,17.0,nan,92.0,62.0,11.0,5.0,287.0,77.0,11.0,5.0,88.0,23.0,1.0,nan,nan,nan,32.0,38.0,15.0,13.0,1.0,26.0,7.0,6.0,2.0,77.0,25.0,1.0,30.0,14.0,1.0,1.0,13.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6806898df9b67839f528ba08,684284ba925dd4f9d72ac595,nan,nan,nan,nan,245.0,62.0,2.0,1.0,nan,nan,9.0,2.0,119.0,23.0,21.0,4.0,9.0,3.0,7.0,3.0,64.0,12.0,9.0,4.0,10.0,5.0,65.0,42.0,28.0,8.0,278.0,71.0,15.0,4.0,117.0,31.0,1.0,nan,nan,nan,25.0,40.0,33.0,18.0,1.0,26.0,8.0,6.0,1.0,61.0,16.0,1.0,21.0,7.0,1.0,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
