player_id,player,boon,stat,plus,minus,net_impact,intercept,pct_impact,direction,weight,signed_net,signed_pct,signed_pct_filled
68884943570d8b89bc15a116,Travis Mae,Soul in the Machine,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Soul in the Machine,era,0.0,0.221568,0.221568,6.8133473730075576,3.252,-1.0,1.0,-0.221568,-3.252,-3.252
68884943570d8b89bc15a116,Travis Mae,Soul in the Machine,fip,-0.051804,0.208527,0.156723,7.066868894970457,2.2177,-1.0,1.0,-0.156723,-2.2177,-2.2177
68884943570d8b89bc15a116,Travis Mae,Soul in the Machine,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Soul in the Machine,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Soul in the Machine,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Soul in the Machine,whip,-0.014476,0.02544,0.010964,1.8091445204860357,0.6061,-1.0,1.0,-0.010964,-0.6061,-0.6061
68884943570d8b89bc15a116,Travis Mae,Demonic,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Demonic,era,-0.586917,0.236398,-0.350519,6.8133473730075576,-5.1446,-1.0,1.0,0.350519,5.1446,5.1446
68884943570d8b89bc15a116,Travis Mae,Demonic,fip,-0.603399,0.241852,-0.361547,7.066868894970457,-5.1161,-1.0,1.0,0.361547,5.1161,5.1161
68884943570d8b89bc15a116,Travis Mae,Demonic,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Demonic,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Demonic,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Demonic,whip,-0.118,0.066399,-0.051601,1.8091445204860357,-2.8522,-1.0,1.0,0.051601,2.8522,2.8522
68884943570d8b89bc15a116,Travis Mae,Angelic,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Angelic,era,-0.236398,0.586917,0.350519,6.8133473730075576,5.1446,-1.0,1.0,-0.350519,-5.1446,-5.1446
68884943570d8b89bc15a116,Travis Mae,Angelic,fip,-0.241852,0.603399,0.361547,7.066868894970457,5.1161,-1.0,1.0,-0.361547,-5.1161,-5.1161
68884943570d8b89bc15a116,Travis Mae,Angelic,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Angelic,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Angelic,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Angelic,whip,-0.066399,0.118,0.051601,1.8091445204860357,2.8522,-1.0,1.0,-0.051601,-2.8522,-2.8522
68884943570d8b89bc15a116,Travis Mae,Undead,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Undead,era,-0.164728,0.221568,0.05684,6.8133473730075576,0.8342,-1.0,1.0,-0.05684,-0.8342,-0.8342
68884943570d8b89bc15a116,Travis Mae,Undead,fip,-0.119718,0.208527,0.08881,7.066868894970457,1.2567,-1.0,1.0,-0.08881,-1.2567,-1.2567
68884943570d8b89bc15a116,Travis Mae,Undead,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Undead,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Undead,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Undead,whip,-0.033556,0.02544,-0.008116,1.8091445204860357,-0.4486,-1.0,1.0,0.008116,0.4486,0.4486
68884943570d8b89bc15a116,Travis Mae,Giant,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Giant,era,-0.164728,0.236398,0.07167,6.8133473730075576,1.0519,-1.0,1.0,-0.07167,-1.0519,-1.0519
68884943570d8b89bc15a116,Travis Mae,Giant,fip,-0.119718,0.241852,0.122135,7.066868894970457,1.7283,-1.0,1.0,-0.122135,-1.7283,-1.7283
68884943570d8b89bc15a116,Travis Mae,Giant,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Giant,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Giant,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Giant,whip,-0.033556,0.066399,0.032843,1.8091445204860357,1.8154,-1.0,1.0,-0.032843,-1.8154,-1.8154
68884943570d8b89bc15a116,Travis Mae,Fire Elemental,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Fire Elemental,era,-0.586917,0.236398,-0.350519,6.8133473730075576,-5.1446,-1.0,1.0,0.350519,5.1446,5.1446
68884943570d8b89bc15a116,Travis Mae,Fire Elemental,fip,-0.603399,0.241852,-0.361547,7.066868894970457,-5.1161,-1.0,1.0,0.361547,5.1161,5.1161
68884943570d8b89bc15a116,Travis Mae,Fire Elemental,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Fire Elemental,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Fire Elemental,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Fire Elemental,whip,-0.118,0.066399,-0.051601,1.8091445204860357,-2.8522,-1.0,1.0,0.051601,2.8522,2.8522
68884943570d8b89bc15a116,Travis Mae,Water Elemental,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Water Elemental,era,-0.236398,0.586917,0.350519,6.8133473730075576,5.1446,-1.0,1.0,-0.350519,-5.1446,-5.1446
68884943570d8b89bc15a116,Travis Mae,Water Elemental,fip,-0.241852,0.603399,0.361547,7.066868894970457,5.1161,-1.0,1.0,-0.361547,-5.1161,-5.1161
68884943570d8b89bc15a116,Travis Mae,Water Elemental,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Water Elemental,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Water Elemental,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Water Elemental,whip,-0.066399,0.118,0.051601,1.8091445204860357,2.8522,-1.0,1.0,-0.051601,-2.8522,-2.8522
68884943570d8b89bc15a116,Travis Mae,Air Elemental,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Air Elemental,era,0.0,0.586917,0.586917,6.8133473730075576,8.6142,-1.0,1.0,-0.586917,-8.6142,-8.6142
68884943570d8b89bc15a116,Travis Mae,Air Elemental,fip,-0.051804,0.603399,0.551595,7.066868894970457,7.8054,-1.0,1.0,-0.551595,-7.8054,-7.8054
68884943570d8b89bc15a116,Travis Mae,Air Elemental,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Air Elemental,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Air Elemental,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Air Elemental,whip,-0.014476,0.118,0.103524,1.8091445204860357,5.7223,-1.0,1.0,-0.103524,-5.7223,-5.7223
68884943570d8b89bc15a116,Travis Mae,Earth Elemental,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Earth Elemental,era,-0.164728,0.236398,0.07167,6.8133473730075576,1.0519,-1.0,1.0,-0.07167,-1.0519,-1.0519
68884943570d8b89bc15a116,Travis Mae,Earth Elemental,fip,-0.119718,0.241852,0.122135,7.066868894970457,1.7283,-1.0,1.0,-0.122135,-1.7283,-1.7283
68884943570d8b89bc15a116,Travis Mae,Earth Elemental,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Earth Elemental,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Earth Elemental,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Earth Elemental,whip,-0.033556,0.066399,0.032843,1.8091445204860357,1.8154,-1.0,1.0,-0.032843,-1.8154,-1.8154
68884943570d8b89bc15a116,Travis Mae,Draconic,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Draconic,era,-0.221568,0.236398,0.01483,6.8133473730075576,0.2177,-1.0,1.0,-0.01483,-0.2177,-0.2177
68884943570d8b89bc15a116,Travis Mae,Draconic,fip,-0.208527,0.241852,0.033325,7.066868894970457,0.4716,-1.0,1.0,-0.033325,-0.4716,-0.4716
68884943570d8b89bc15a116,Travis Mae,Draconic,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Draconic,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Draconic,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Draconic,whip,-0.02544,0.066399,0.040959,1.8091445204860357,2.264,-1.0,1.0,-0.040959,-2.264,-2.264
68884943570d8b89bc15a116,Travis Mae,Fae,avg,0.0,0.0,0.0,0.3014750679107682,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Fae,era,-0.072055,0.586917,0.514862,6.8133473730075576,7.5567,-1.0,1.0,-0.514862,-7.5567,-7.5567
68884943570d8b89bc15a116,Travis Mae,Fae,fip,-0.068725,0.603399,0.534675,7.066868894970457,7.5659,-1.0,1.0,-0.534675,-7.5659,-7.5659
68884943570d8b89bc15a116,Travis Mae,Fae,obp,0.0,0.0,0.0,0.2663122788858794,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Fae,ops,0.0,0.0,0.0,0.5331873843040336,0.0,1.0,1.0,0.0,0.0,0.0
68884943570d8b89bc15a116,Travis Mae,Fae,slg,0.0,0.0,0.0,0.2668751054181542,0.0,1.0,1.0,0.0,0.0,0.0
